chromosome1,start1,end1,chromosome2,start2,end2,PET Count,Hypergeometric p-value,Bayes mixture 1
chr13,32650000,32655000,chr13,32660000,32665000,1,9.66654203259176e-05,0
chrX,5635000,5640000,chrX,5640000,5645000,2,2.10689893426615e-10,0
chr11,60135000,60140000,chr11,60140000,60145000,3,7.5079700038556e-13,0
chr7,22055000,22060000,chr7,22060000,22065000,2,8.62806705065544e-09,0
chr4,165215000,165220000,chr4,165220000,165225000,1,3.17762893029102e-05,0
chr18,55530000,55535000,chr18,55540000,55545000,1,0.000147046501898488,0
chr8,60600000,60605000,chr8,60615000,60620000,1,0.000145270502691518,0
chr13,64230000,64235000,chr13,64235000,64240000,2,2.09285325971758e-10,0
chr20,20975000,20980000,chr20,20980000,20985000,2,2.84409332966935e-09,0
chr5,161230000,161235000,chr5,161240000,161245000,1,5.22921986447012e-05,0
chr8,117055000,117060000,chr8,117060000,117065000,2,1.48460447926995e-09,0
chr1,6315000,6320000,chr1,6320000,6325000,2,2.55125258119315e-08,0
chr7,83915000,83920000,chr7,83920000,83925000,3,3.59747794527872e-13,0
chr7,133925000,133930000,chr7,133930000,133935000,3,2.93105509752338e-14,0
chr17,14370000,14375000,chr17,14375000,14380000,3,9.92856718515604e-14,0
chrX,21365000,21370000,chrX,21370000,21375000,2,5.67607388713937e-10,0
chr3,129785000,129790000,chr3,129790000,129795000,2,1.25000167250391e-09,0
chrX,108355000,108360000,chrX,108365000,108370000,1,6.80579930652072e-06,0
chr8,136935000,136940000,chr8,136945000,136950000,1,9.19455824093157e-05,0
chr2,241865000,241870000,chr2,241870000,241875000,3,3.20590444582601e-15,0
chr2,208090000,208095000,chr2,208095000,208100000,3,1.86778159554189e-14,0
chr20,34945000,34950000,chr20,34950000,34955000,4,8.2340352305471e-18,0
chr9,78690000,78695000,chr9,78695000,78700000,2,1.79698226915574e-09,0
chr2,228740000,228745000,chr2,228750000,228755000,1,5.77004211532704e-05,0
chr13,97425000,97430000,chr13,97430000,97435000,2,6.56979385725302e-10,0
chr8,84065000,84070000,chr8,84070000,84075000,3,3.64464717799862e-14,0
chr1,82600000,82605000,chr1,82610000,82615000,1,2.67973042802764e-05,0
chr16,17690000,17695000,chr16,17700000,17705000,1,0.000196480415031824,0
chr10,106890000,106895000,chr10,106895000,106900000,3,3.46757023690718e-14,0
chr6,103440000,103445000,chr6,103445000,103450000,2,9.70248078234652e-10,0
chr5,46310000,46315000,chr5,46315000,46320000,1,3.06512221203916e-06,0
chr12,85075000,85080000,chr12,85080000,85085000,3,1.54696457131487e-14,0
chr4,73020000,73025000,chr4,73025000,73030000,3,2.34898895363999e-13,0
chr10,117025000,117030000,chr10,117040000,117045000,1,3.25727546982167e-05,0
chr9,26895000,26900000,chr9,26900000,26905000,1,5.72459156642005e-05,0
chr6,23685000,23690000,chr6,23690000,23695000,2,5.10391067222031e-09,0
chr9,137275000,137280000,chr9,137280000,137285000,1,4.75385935604359e-05,0
chr4,70910000,70915000,chr4,70915000,70920000,1,2.34529279552036e-05,0
chrX,142045000,142050000,chrX,142050000,142055000,2,5.22378635366449e-10,0
chr5,163875000,163880000,chr5,163880000,163885000,4,4.99532432110258e-18,0
chr17,38880000,38885000,chr17,38890000,38895000,1,0.00025315374804979,0
chrX,18520000,18525000,chrX,18525000,18530000,3,8.21355069519082e-14,0
chr2,11230000,11235000,chr2,11235000,11240000,2,3.88750711965659e-09,0
chr8,5225000,5230000,chr8,5235000,5240000,1,7.73938638134648e-05,0
chr7,50585000,50590000,chr7,50600000,50605000,1,0.000301368554407923,0
chr11,96615000,96620000,chr11,96625000,96630000,1,0.000177350258662811,0
chr9,2270000,2275000,chr9,2275000,2280000,1,2.62718804173494e-05,0
chr22,30755000,30760000,chr22,30765000,30770000,1,6.63609607495874e-05,0
chr11,132755000,132760000,chr11,132760000,132765000,2,1.08361300208559e-09,0
chr12,98105000,98110000,chr12,98110000,98115000,3,1.98150582978863e-14,0
chr9,113640000,113645000,chr9,113650000,113655000,1,0.000109373740987938,0
chr13,56925000,56930000,chr13,56935000,56940000,1,2.14679782641397e-05,0
chr4,30250000,30255000,chr4,30260000,30265000,1,2.49374653364565e-05,0
chr11,22445000,22450000,chr11,22450000,22455000,2,1.93762444232712e-09,0
chr17,39400000,39405000,chr17,39405000,39410000,1,2.22185939027518e-05,0
chr13,83875000,83880000,chr13,83880000,83885000,2,3.95643181453718e-10,0
chr4,18855000,18860000,chr4,18865000,18870000,1,0.000126029981912454,0
chr12,22300000,22305000,chr12,22305000,22310000,4,6.14939796360024e-20,0
chrX,50165000,50170000,chrX,50170000,50175000,1,6.82873621377868e-05,0
chr16,80165000,80170000,chr16,80170000,80175000,2,1.59423498135193e-09,0
chr4,163600000,163605000,chr4,163605000,163610000,1,5.5589086936469e-06,0
chr4,29590000,29595000,chr4,29595000,29600000,2,2.42447672329535e-09,0
chr4,94110000,94115000,chr4,94115000,94120000,1,6.52851777883581e-05,0
chr4,101390000,101395000,chr4,101395000,101400000,2,3.28929214361653e-10,0
chr4,45345000,45350000,chr4,45350000,45355000,4,8.22731130939605e-19,0
chr8,117035000,117040000,chr8,117040000,117045000,3,3.51661879657197e-13,0
chr2,242240000,242245000,chr2,242255000,242260000,1,0.000392058842394212,0
chr4,165570000,165575000,chr4,165575000,165580000,1,8.22366198741628e-06,0
chr21,23320000,23325000,chr21,23335000,23340000,1,0.000119246640595814,0
chr17,29095000,29100000,chr17,29100000,29105000,2,1.69721570614557e-10,0
chr5,103610000,103615000,chr5,103615000,103620000,1,7.65516012461695e-05,0
chrX,108755000,108760000,chrX,108760000,108765000,5,2.11061233395076e-22,0
chr6,92960000,92965000,chr6,92965000,92970000,3,2.24768696828149e-14,0
chrX,125190000,125195000,chrX,125195000,125200000,3,1.20265994157132e-14,0
chr8,18915000,18920000,chr8,18930000,18935000,1,9.51310629848859e-05,0
chr14,81150000,81155000,chr14,81160000,81165000,1,3.60296549352483e-05,0
chr3,66530000,66535000,chr3,66535000,66540000,2,2.12140892421324e-09,0
chr3,170670000,170675000,chr3,170675000,170680000,1,0.00016144611952897,0
chr14,95260000,95265000,chr14,95265000,95270000,2,2.30517792210103e-09,0
chr12,26905000,26910000,chr12,26910000,26915000,2,1.23913145931759e-08,0
chr2,147050000,147055000,chr2,147055000,147060000,2,1.36588684015201e-09,0
chr7,90565000,90570000,chr7,90570000,90575000,2,1.08245402994905e-08,0
chr13,71635000,71640000,chr13,71640000,71645000,2,1.27948260420333e-10,0
chr12,127170000,127175000,chr12,127180000,127185000,1,0.000135723288439039,0
chr2,73875000,73880000,chr2,73880000,73885000,2,7.10748339778736e-09,0
chr13,68260000,68265000,chr13,68265000,68270000,2,6.75572696791215e-10,0
chr8,138335000,138340000,chr8,138340000,138345000,1,3.05002709856815e-05,0
chr18,7140000,7145000,chr18,7150000,7155000,1,0.000143394414476851,0
chr18,66795000,66800000,chr18,66800000,66805000,1,2.65387587366901e-05,0
chrX,38175000,38180000,chrX,38180000,38185000,4,1.38799087091459e-18,0
chr10,9180000,9185000,chr10,9185000,9190000,3,8.33902511111751e-14,0
chr3,102350000,102355000,chr3,102355000,102360000,3,1.14107488647162e-15,0
chr2,51090000,51095000,chr2,51095000,51100000,3,7.15194507724728e-14,0
chr15,29665000,29670000,chr15,29670000,29675000,3,2.40626851524042e-13,0
chr4,70920000,70925000,chr4,70930000,70935000,1,4.92398846583604e-05,0
chr12,108900000,108905000,chr12,108910000,108915000,1,0.000275711270361339,0
chr11,104610000,104615000,chr11,104620000,104625000,1,3.89652926374361e-05,0
chr9,121525000,121530000,chr9,121530000,121535000,2,3.28705979052548e-09,0
chr11,18265000,18270000,chr11,18270000,18275000,2,4.97599640810971e-09,0
chr6,168775000,168780000,chr6,168780000,168785000,1,7.84696257202879e-05,0
chr8,138305000,138310000,chr8,138310000,138315000,2,6.15794618246716e-10,0
chrX,25530000,25535000,chrX,25535000,25540000,2,1.55033415739385e-10,0
chr20,61920000,61925000,chr20,61925000,61930000,2,3.13317536379706e-09,0
chr1,191200000,191205000,chr1,191205000,191210000,1,0.000139467149664092,0
chr1,194250000,194255000,chr1,194255000,194260000,3,2.40099653708213e-13,0
chr4,74160000,74165000,chr4,74170000,74175000,1,0.000113672317769853,0
chr13,56580000,56585000,chr13,56590000,56595000,1,3.58003077042389e-05,0
chr10,23615000,23620000,chr10,23620000,23625000,1,0.000212616873854345,0
chr11,105980000,105985000,chr11,105985000,105990000,3,1.5736039167992e-14,0
chr10,121105000,121110000,chr10,121110000,121115000,3,1.14433952304367e-12,0
chr16,77895000,77900000,chr16,77905000,77910000,1,0.000208469216899011,0
chr6,18610000,18615000,chr6,18615000,18620000,2,2.67906534328252e-08,0
chrX,8830000,8835000,chrX,8835000,8840000,3,2.16000573040277e-14,0
chrX,93590000,93595000,chrX,93595000,93600000,1,2.65846290360552e-05,0
chrX,49775000,49780000,chrX,49780000,49785000,4,1.98475546932184e-18,0
chr16,64995000,65000000,chr16,65000000,65005000,4,9.45996066145035e-21,0
chr10,2275000,2280000,chr10,2280000,2285000,1,9.88918994383737e-05,0
chr13,81810000,81815000,chr13,81815000,81820000,2,3.90089611057571e-10,0
chr2,187100000,187105000,chr2,187105000,187110000,3,5.28769963366283e-14,0
chr7,96035000,96040000,chr7,96040000,96045000,3,2.74229323523012e-12,0
chr1,69525000,69530000,chr1,69530000,69535000,1,5.07785535499937e-05,0
chr11,71580000,71585000,chr11,71585000,71590000,2,1.29355395929939e-10,0
chr6,136540000,136545000,chr6,136550000,136555000,1,0.000285580881968377,0
chr3,150290000,150295000,chr3,150300000,150305000,1,0.000199577710349989,0
chr13,101540000,101545000,chr13,101550000,101555000,1,5.08911386354455e-05,0
chr2,116155000,116160000,chr2,116160000,116165000,3,5.04722542127873e-14,0
chrX,74685000,74690000,chrX,74690000,74695000,2,1.82272983399944e-10,0
chr10,4650000,4655000,chr10,4655000,4660000,2,1.3442847691084e-09,0
chr2,191815000,191820000,chr2,191820000,191825000,1,3.47036119508949e-05,0
chr4,94355000,94360000,chr4,94360000,94365000,4,5.15292854857619e-19,0
chr18,50880000,50885000,chr18,50885000,50890000,2,1.04547958484203e-10,0
chr22,49055000,49060000,chr22,49060000,49065000,3,1.91721034665244e-14,0
chr3,98545000,98550000,chr3,98550000,98555000,2,8.2251186363623e-10,0
chr14,30770000,30775000,chr14,30775000,30780000,1,7.15897360212201e-05,0
chr1,103480000,103485000,chr1,103485000,103490000,3,1.77817623360668e-14,0
chr12,8960000,8965000,chr12,8965000,8970000,1,3.14593734213397e-05,0
chr6,129240000,129245000,chr6,129245000,129250000,2,6.76954672671231e-10,0
chr14,74980000,74985000,chr14,74985000,74990000,2,2.29896186021438e-09,0
chr6,3725000,3730000,chr6,3735000,3740000,1,0.000545588996566961,0
chr5,74585000,74590000,chr5,74590000,74595000,2,3.53500017969348e-09,0
chr3,103045000,103050000,chr3,103050000,103055000,1,2.55963315479352e-05,0
chr2,148645000,148650000,chr2,148650000,148655000,2,3.29517941697924e-09,0
chr3,88895000,88900000,chr3,88900000,88905000,2,1.55105727394885e-10,0
chrX,7930000,7935000,chrX,7935000,7940000,2,8.2759745377024e-10,0
chr4,22280000,22285000,chr4,22285000,22290000,1,3.0858893354669e-05,0
chr14,75185000,75190000,chr14,75195000,75200000,1,0.000178792677716791,0
chr7,88000000,88005000,chr7,88005000,88010000,3,1.33044462327313e-13,0
chr19,22505000,22510000,chr19,22510000,22515000,2,8.19896568552208e-10,0
chr12,125755000,125760000,chr12,125765000,125770000,1,0.000320839886434398,0
chr2,142580000,142585000,chr2,142590000,142595000,1,6.60357242844983e-05,0
chrX,77560000,77565000,chrX,77565000,77570000,3,2.09234026146439e-14,0
chr4,78465000,78470000,chr4,78470000,78475000,1,2.11343783279247e-05,0
chr13,65140000,65145000,chr13,65145000,65150000,3,1.60260011816606e-15,0
chr11,31435000,31440000,chr11,31445000,31450000,1,0.000117649814967161,0
chr8,71610000,71615000,chr8,71615000,71620000,1,1.53129200193489e-05,0
chr17,57280000,57285000,chr17,57290000,57295000,1,0.000199331751875245,0
chr4,71420000,71425000,chr4,71425000,71430000,2,6.28933565445287e-09,0
chr2,40075000,40080000,chr2,40085000,40090000,1,0.000153641858386948,0
chr4,162435000,162440000,chr4,162440000,162445000,2,1.81561238730172e-12,0
chr5,66975000,66980000,chr5,66985000,66990000,1,0.000175119969845814,0
chr3,192480000,192485000,chr3,192485000,192490000,2,6.63590291491096e-10,0
chr2,238750000,238755000,chr2,238755000,238760000,1,2.30192424502351e-05,0
chr6,116050000,116055000,chr6,116055000,116060000,1,9.2558496603925e-05,0
chr3,86055000,86060000,chr3,86060000,86065000,2,1.89391450941238e-10,0
chr6,105845000,105850000,chr6,105855000,105860000,1,0.000343244325585262,0
chr8,34035000,34040000,chr8,34040000,34045000,2,7.55924905450078e-10,0
chr13,105510000,105515000,chr13,105520000,105525000,1,5.44354794367259e-05,0
chr7,113355000,113360000,chr7,113360000,113365000,4,3.99603535760276e-17,0
chr20,4460000,4465000,chr20,4470000,4475000,1,5.80298332681456e-05,0
chr3,89610000,89615000,chr3,89615000,89620000,2,2.95238457001238e-10,0
chr4,162220000,162225000,chr4,162225000,162230000,3,1.29746087682836e-18,0
chrX,125855000,125860000,chrX,125865000,125870000,1,1.50126682508153e-05,0
chr11,24940000,24945000,chr11,24945000,24950000,1,1.52128343694034e-05,0
chr13,61070000,61075000,chr13,61080000,61085000,1,3.20890365474503e-05,0
chr19,33920000,33925000,chr19,33925000,33930000,3,1.28332992535861e-13,0
chr6,113635000,113640000,chr6,113645000,113650000,1,0.000129944848909842,0
chr3,180280000,180285000,chr3,180295000,180300000,1,9.45390027683234e-05,0
chrX,125655000,125660000,chrX,125660000,125665000,1,1.3448869000236e-05,0
chr4,31935000,31940000,chr4,31945000,31950000,1,0.000103328153426684,0
chr3,110945000,110950000,chr3,110950000,110955000,3,2.91818760922076e-14,0
chr8,126205000,126210000,chr8,126210000,126215000,1,4.67046146999872e-05,0
chr2,205535000,205540000,chr2,205540000,205545000,3,1.15769512919763e-14,0
chr3,125295000,125300000,chr3,125305000,125310000,1,4.55120327155431e-05,0
chr3,188955000,188960000,chr3,188965000,188970000,1,2.20184273083724e-05,0
chr10,56150000,56155000,chr10,56155000,56160000,1,3.7030442393276e-05,0
chr4,175975000,175980000,chr4,175985000,175990000,1,6.64526996155026e-05,0
chr12,104425000,104430000,chr12,104430000,104435000,1,3.28271242148102e-05,0
chr4,131490000,131495000,chr4,131500000,131505000,1,5.11038003224803e-05,0
chr4,46250000,46255000,chr4,46255000,46260000,1,7.77607882927215e-05,0
chrX,113280000,113285000,chrX,113285000,113290000,1,4.063326388081e-05,0
chr14,28800000,28805000,chr14,28805000,28810000,1,1.58758828381078e-05,0
chr21,23065000,23070000,chr21,23075000,23080000,1,3.3569379009801e-05,0
chr4,186560000,186565000,chr4,186565000,186570000,2,9.51346672468009e-09,0
chr4,137020000,137025000,chr4,137025000,137030000,3,4.1956646256326e-16,0
chrX,114165000,114170000,chrX,114170000,114175000,2,5.01369066508237e-10,0
chr12,119140000,119145000,chr12,119155000,119160000,1,0.000147154892884732,0
chr7,11885000,11890000,chr7,11890000,11895000,3,1.33979028214683e-14,0
chr8,16575000,16580000,chr8,16585000,16590000,1,0.000110916389625419,0
chr14,25170000,25175000,chr14,25175000,25180000,4,1.1977906929365e-19,0
chr13,64030000,64035000,chr13,64035000,64040000,2,1.89675055719621e-10,0
chr9,83795000,83800000,chr9,83800000,83805000,2,9.41547643428109e-10,0
chr2,226375000,226380000,chr2,226380000,226385000,4,1.59293448793193e-19,0
chr9,18095000,18100000,chr9,18100000,18105000,2,2.31794841093986e-09,0
chr3,64420000,64425000,chr3,64430000,64435000,1,4.34270933636615e-05,0
chr2,213985000,213990000,chr2,213995000,214000000,1,5.1587500490124e-05,0
chr6,62270000,62275000,chr6,62275000,62280000,2,3.00287596422737e-09,0
chr3,1395000,1400000,chr3,1400000,1405000,2,1.43339711299681e-09,0
chr15,78115000,78120000,chr15,78120000,78125000,3,5.66188766804550e-13,0
chr10,108980000,108985000,chr10,108985000,108990000,3,2.60627270423426e-14,0
chr6,53895000,53900000,chr6,53900000,53905000,3,7.10258954824533e-13,0
chr4,130425000,130430000,chr4,130430000,130435000,3,6.15161816507201e-14,0
chr1,235915000,235920000,chr1,235920000,235925000,2,7.74120057209562e-09,0
chr7,48060000,48065000,chr7,48065000,48070000,4,1.58077297057164e-17,0
chr12,80595000,80600000,chr12,80600000,80605000,3,8.88954788540763e-14,0
chr3,32950000,32955000,chr3,32955000,32960000,3,3.05707785167698e-12,0
chr8,64995000,65000000,chr8,65000000,65005000,1,2.34862885737317e-05,0
chr4,180905000,180910000,chr4,180910000,180915000,4,3.16111361484264e-21,0
chr12,96105000,96110000,chr12,96110000,96115000,4,3.92508947844181e-18,0
chr13,36355000,36360000,chr13,36360000,36365000,2,2.45211401778088e-10,0
chrX,131770000,131775000,chrX,131775000,131780000,2,1.38195689965686e-09,0
chr10,86910000,86915000,chr10,86915000,86920000,4,4.234917255865e-17,0
chr4,117160000,117165000,chr4,117165000,117170000,2,1.55463588439307e-09,0
chr6,91260000,91265000,chr6,91265000,91270000,3,2.96393620875109e-13,0
chr15,28115000,28120000,chr15,28125000,28130000,1,0.000165214806226768,0
chr4,182650000,182655000,chr4,182655000,182660000,3,7.0604748926339e-15,0
chrX,29975000,29980000,chrX,29985000,29990000,1,6.46263622071966e-05,0
chr4,146880000,146885000,chr4,146885000,146890000,1,3.8781821587338e-05,0
chr14,38670000,38675000,chr14,38675000,38680000,1,2.80733272865778e-05,0
chr14,99290000,99295000,chr14,99300000,99305000,1,4.92398881491045e-05,0
chr8,126860000,126865000,chr8,126865000,126870000,3,2.88118793400279e-13,0
chr2,23960000,23965000,chr2,23965000,23970000,1,1.66390204524469e-05,0
chr4,189985000,189990000,chr4,189990000,189995000,3,5.42880105037668e-14,0
chr4,14620000,14625000,chr4,14625000,14630000,2,3.32095763702832e-09,0
chr2,227955000,227960000,chr2,227960000,227965000,3,7.60237297674062e-14,0
chr6,123190000,123195000,chr6,123200000,123205000,1,6.79245988955886e-05,0
chr12,101135000,101140000,chr12,101140000,101145000,3,1.00797647674053e-13,0
chr3,73430000,73435000,chr3,73440000,73445000,1,0.000106680332803046,0
chr5,75075000,75080000,chr5,75080000,75085000,2,6.6882204548092e-09,0
chr7,12030000,12035000,chr7,12035000,12040000,2,2.67864705851468e-09,0
chr2,225545000,225550000,chr2,225555000,225560000,1,6.96383352654226e-05,0
chr8,61620000,61625000,chr8,61625000,61630000,4,3.56925885194339e-17,0
chrX,111235000,111240000,chrX,111240000,111245000,2,4.84483101325951e-11,0
chr1,93985000,93990000,chr1,93990000,93995000,3,2.13309481423296e-13,0
chr17,21090000,21095000,chr17,21100000,21105000,1,0.000241349420503195,0
chr11,109120000,109125000,chr11,109125000,109130000,1,3.99327136798232e-05,0
chr8,128585000,128590000,chr8,128595000,128600000,1,0.00018922696636333,0
chr7,50065000,50070000,chr7,50070000,50075000,2,1.50331203069547e-09,0
chr11,69490000,69495000,chr11,69495000,69500000,1,0.000172243482327723,0
chr17,17650000,17655000,chr17,17660000,17665000,1,9.36967713216425e-05,0
chr4,137715000,137720000,chr4,137720000,137725000,3,5.41395575026556e-14,0
chr3,79870000,79875000,chr3,79875000,79880000,2,6.05814130791599e-10,0
chr8,13355000,13360000,chr8,13360000,13365000,3,1.54611525623545e-14,0
chr3,18700000,18705000,chr3,18705000,18710000,4,4.74416697628961e-18,0
chr5,45875000,45880000,chr5,45880000,45885000,1,1.39451153857057e-05,0
chr1,216305000,216310000,chr1,216310000,216315000,4,1.12189645222685e-17,0
chr14,26020000,26025000,chr14,26030000,26035000,1,3.48287078320296e-05,0
chrX,98885000,98890000,chrX,98895000,98900000,1,2.81817481278633e-05,0
chr2,225690000,225695000,chr2,225695000,225700000,2,2.47643557672804e-09,0
chrX,55655000,55660000,chrX,55660000,55665000,2,7.8635833222604e-10,0
chr5,620000,625000,chr5,630000,635000,1,0.000119113227325842,0
chr17,60930000,60935000,chr17,60940000,60945000,1,0.000175620218872589,0
chr16,61285000,61290000,chr16,61290000,61295000,2,3.09224343575583e-09,0
chr20,19335000,19340000,chr20,19340000,19345000,2,1.22819422498222e-09,0
chr7,121880000,121885000,chr7,121885000,121890000,3,1.89225487484298e-16,0
chr4,175005000,175010000,chr4,175010000,175015000,3,8.01946896524638e-14,0
chr16,51890000,51895000,chr16,51895000,51900000,3,2.90125201356286e-14,0
chr3,95245000,95250000,chr3,95250000,95255000,3,7.13330048074108e-16,0
chr3,106430000,106435000,chr3,106435000,106440000,3,1.55554118678049e-14,0
chrX,88225000,88230000,chrX,88230000,88235000,1,6.93924374729602e-06,0
chr4,32315000,32320000,chr4,32320000,32325000,3,1.06878642241345e-13,0
chr22,34015000,34020000,chr22,34020000,34025000,2,6.21727034425471e-10,0
chr5,98915000,98920000,chr5,98920000,98925000,1,8.79497616917297e-06,0
chrX,57785000,57790000,chrX,57790000,57795000,2,1.07460340751008e-09,0
chr22,50010000,50015000,chr22,50015000,50020000,1,1.91410737132522e-05,0
chr6,124700000,124705000,chr6,124710000,124715000,1,0.000122419437854195,0
chr3,24390000,24395000,chr3,24405000,24410000,1,0.000479370588778416,0
chr3,53035000,53040000,chr3,53045000,53050000,1,0.000113709835339832,0
chr11,5355000,5360000,chr11,5365000,5370000,1,0.000128031211409362,0
chr20,8480000,8485000,chr20,8485000,8490000,2,5.45211888275483e-10,0
chr3,86625000,86630000,chr3,86630000,86635000,2,2.06224852858396e-10,0
chr13,87260000,87265000,chr13,87265000,87270000,1,6.86000990861917e-06,0
chr9,3010000,3015000,chr9,3015000,3020000,3,2.4549778802585e-14,0
chr3,63415000,63420000,chr3,63420000,63425000,2,9.62015625144115e-10,0
chr12,20720000,20725000,chr12,20725000,20730000,2,5.41362761108511e-10,0
chr7,62200000,62205000,chr7,62205000,62210000,2,1.45633147655366e-10,0
chr8,118870000,118875000,chr8,118875000,118880000,1,2.80566480463988e-05,0
chr4,120495000,120500000,chr4,120500000,120505000,2,2.67905732727011e-09,0
chrX,126240000,126245000,chrX,126245000,126250000,2,1.8335261273842e-10,0
chr6,76780000,76785000,chr6,76785000,76790000,3,1.74507261392988e-14,0
chr5,110915000,110920000,chr5,110925000,110930000,1,1.41369424163704e-05,0
chr5,14910000,14915000,chr5,14920000,14925000,1,0.000189443756382829,0
chr17,62830000,62835000,chr17,62835000,62840000,2,9.91584083379657e-11,0
chr14,86190000,86195000,chr14,86195000,86200000,2,3.32194918118378e-10,0
chr7,62010000,62015000,chr7,62015000,62020000,1,3.21107985019099e-06,0
chr9,83665000,83670000,chr9,83670000,83675000,4,4.32144539643599e-20,0
chr11,81780000,81785000,chr11,81785000,81790000,2,5.13663010288246e-10,0
chr13,64600000,64605000,chr13,64605000,64610000,3,2.3175154112518e-15,0
chr9,16655000,16660000,chr9,16660000,16665000,3,2.50126880656219e-14,0
chr6,145180000,145185000,chr6,145195000,145200000,1,0.000185725261552736,0
chr3,116655000,116660000,chr3,116660000,116665000,2,4.61591021578297e-10,0
chr3,2330000,2335000,chr3,2335000,2340000,3,2.51022158440871e-14,0
chr2,202850000,202855000,chr2,202855000,202860000,3,3.13640820318402e-13,0
chr3,30330000,30335000,chr3,30335000,30340000,2,2.25762483151684e-10,0
chr6,58655000,58660000,chr6,58660000,58665000,1,4.96256950667009e-06,0
chr3,144825000,144830000,chr3,144830000,144835000,2,1.52357966026712e-10,0
chr2,22420000,22425000,chr2,22425000,22430000,2,2.15236091294523e-09,0
chr18,72955000,72960000,chr18,72960000,72965000,2,5.60250526468687e-10,0
chr4,59970000,59975000,chr4,59975000,59980000,1,2.40200571413268e-05,0
chr1,52660000,52665000,chr1,52675000,52680000,1,0.000349828792277334,0
chrX,142060000,142065000,chrX,142065000,142070000,2,1.45705455625902e-10,0
chr1,76885000,76890000,chr1,76895000,76900000,1,7.44250976080345e-05,0
chr10,22690000,22695000,chr10,22700000,22705000,1,9.9396403935098e-05,0
chr4,177535000,177540000,chr4,177540000,177545000,3,7.10549065067677e-15,0
chr10,17365000,17370000,chr10,17370000,17375000,3,5.78471494473601e-13,0
chr5,18495000,18500000,chr5,18500000,18505000,1,6.65444284900719e-05,0
chr2,97095000,97100000,chr2,97105000,97110000,1,5.38767329855441e-05,0
chr12,13840000,13845000,chr12,13845000,13850000,3,2.63052849045503e-14,0
chr4,18220000,18225000,chr4,18225000,18230000,1,2.06423042673863e-05,0
chr4,78865000,78870000,chr4,78870000,78875000,2,1.27090540412785e-08,0
chr10,20845000,20850000,chr10,20850000,20855000,1,1.02211747104752e-05,0
chr9,17015000,17020000,chr9,17025000,17030000,1,4.84351044603083e-05,0
chr4,134500000,134505000,chr4,134505000,134510000,1,4.67046162580975e-05,0
chr11,81665000,81670000,chr11,81670000,81675000,1,4.11336500339462e-05,0
chr22,43165000,43170000,chr22,43175000,43180000,1,0.000262152696573296,0
chr12,63585000,63590000,chr12,63590000,63595000,2,7.98591571934385e-10,0
chr20,53315000,53320000,chr20,53320000,53325000,3,1.6712789000385e-13,0
chr8,21450000,21455000,chr8,21455000,21460000,3,1.1606894836008e-12,0
