chromosome1,start1,end1,chromosome2,start2,end2,PET Count,Hypergeometric p-value,Bayes mixture 1,YY1peak1_start,YY1peak1_end,YY1peak2_start,YY1peak2_end,YY1_distance
chr10,45405000,45410000,chr10,45410000,45415000,14,1.70261439418374e-58,0.998,45408798,45409164,45411895,45412063,2998
chr10,45405000,45410000,chr10,45430000,45435000,7,1.89053699789758e-27,0.956,45408798,45409164,45434532,45434755,25662
chr10,45410000,45415000,chr10,45425000,45430000,10,7.08710086017228e-43,0.998,45411895,45412063,45428206,45428375,16311
chr10,48400000,48405000,chr10,48410000,48415000,10,7.86766546228485e-40,0.998,48401790,48401994,48412208,48412347,10385
chr10,4865000,4870000,chr10,4870000,4875000,20,5.32520941473604e-88,1,4868131,4869327,4870346,4870561,1724
chr10,49495000,49500000,chr10,49500000,49505000,18,2.07051124249556e-75,1,49497756,49497967,49503348,49503493,5559
chr10,49635000,49640000,chr10,49640000,49645000,33,3.73815209943545e-135,1,49638766,49638910,49640013,49640248,1292
chr10,49745000,49750000,chr10,49755000,49760000,12,8.62498133660099e-47,1,49745515,49745709,49758426,49758585,12893
chr10,50375000,50380000,chr10,50380000,50385000,24,2.20474416040821e-93,1,50374930,50375100,50381283,50381556,6404
chr10,50430000,50435000,chr10,50445000,50450000,8,1.70697955395668e-30,0.974,50433408,50433819,50446096,50446349,12609
chr10,50445000,50450000,chr10,50450000,50455000,15,3.5445534129851e-61,0.999,50446096,50446349,50454099,50454277,7965
chr10,51565000,51570000,chr10,51570000,51575000,26,2.21239184238068e-107,1,51564980,51565404,51572081,51572548,7122
chr10,51570000,51575000,chr10,51590000,51595000,9,6.633450628617e-34,0.995,51572081,51572548,51593939,51594401,21855
chr10,52035000,52040000,chr10,52050000,52055000,12,1.28391749391964e-44,1,52039437,52039657,52053526,52053784,14108
chr10,52120000,52125000,chr10,52150000,52155000,8,6.09832768441225e-29,0.969,52124594,52124778,52153252,52153422,28651
chr10,52150000,52155000,chr10,52155000,52160000,19,1.55524580503278e-81,1,52153252,52153422,52157088,52157269,3841
chr10,52295000,52300000,chr10,52300000,52305000,31,9.39242490000106e-129,1,52298863,52299085,52304668,52304946,5833
chr10,52300000,52305000,chr10,52305000,52310000,15,8.6930280461794e-66,0.999,52304668,52304946,52305758,52306068,1106
chr10,52325000,52330000,chr10,52335000,52340000,8,1.54637218360303e-30,0.959,52325068,52325538,52337413,52337793,12300
chr10,52335000,52340000,chr10,52340000,52345000,44,1.83961312005151e-174,1,52337413,52337793,52344539,52344747,7040
chr10,52335000,52340000,chr10,52345000,52350000,9,4.09719990517722e-33,0.988,52337413,52337793,52346288,52346518,8800
chr10,52335000,52340000,chr10,52350000,52355000,8,2.89890459400057e-29,0.971,52337413,52337793,52352632,52353117,15271
chr10,52340000,52345000,chr10,52345000,52350000,16,1.5943967171532e-62,1,52344539,52344747,52346288,52346518,1760
chr10,52340000,52345000,chr10,52350000,52355000,10,1.21365993695973e-37,0.997,52344539,52344747,52352632,52353117,8231
chr10,52345000,52350000,chr10,52350000,52355000,21,1.30410692872016e-90,1,52346288,52346518,52352632,52353117,6471
chr10,5450000,5455000,chr10,5455000,5460000,21,2.25568011948117e-89,1,5454308,5454934,5455005,5455308,535
chr10,5490000,5495000,chr10,5505000,5510000,7,2.34943644921846e-26,0.935,5491886,5492136,5506584,5506801,14681
chr10,5590000,5595000,chr10,5595000,5600000,21,2.1799442490826e-88,1,5590842,5591205,5595513,5595965,4715
chr10,5665000,5670000,chr10,5670000,5675000,21,5.05503909683122e-85,1,5666791,5666995,5671856,5672061,5065
chr10,5670000,5675000,chr10,5705000,5710000,7,7.99909596427201e-27,0.94,5671856,5672061,5708318,5708739,36570
chr10,5700000,5705000,chr10,5705000,5710000,15,3.59743809222072e-64,1,5701836,5702123,5708318,5708739,6549
chr10,5730000,5735000,chr10,5745000,5750000,11,8.66160490242168e-42,1,5734577,5735061,5749279,5749511,14576
chr10,5855000,5860000,chr10,5860000,5865000,41,1.43453953647842e-168,1,5854646,5856000,5860908,5861060,5661
chr10,5855000,5860000,chr10,5870000,5875000,21,3.6961236605071e-82,1,5854646,5856000,5871338,5871475,16083
chr10,5860000,5865000,chr10,5870000,5875000,18,2.9461733421981e-70,1,5860908,5861060,5871338,5871475,10422
chr10,5860000,5865000,chr10,5875000,5880000,7,4.96146832969537e-26,0.929,5860908,5861060,5877417,5877618,16533
chr10,5870000,5875000,chr10,5875000,5880000,18,1.6151180212758e-73,1,5871338,5871475,5877417,5877618,6111
chr10,5870000,5875000,chr10,5885000,5890000,12,9.3699462483737e-47,1,5871338,5871475,5887061,5887265,15756
chr10,5975000,5980000,chr10,5980000,5985000,34,2.06291056102189e-146,1,5975889,5976627,5982621,5982852,6478
chr10,6125000,6130000,chr10,6130000,6135000,13,1.77661743511398e-51,0.986,6128402,6128655,6130682,6131328,2476
chr10,62055000,62060000,chr10,62060000,62065000,33,1.06988016810366e-127,1,62059653,62059908,62060021,62060582,521
chr10,62060000,62065000,chr10,62070000,62075000,15,2.28229180552902e-57,1,62060021,62060582,62072782,62073010,12594
chr10,63345000,63350000,chr10,63350000,63355000,12,2.03117944444505e-55,0.983,63348559,63348826,63352378,63352603,3798
chr10,63525000,63530000,chr10,63535000,63540000,9,6.00974835412588e-34,0.987,63525188,63525660,63534881,63535197,9615
chr10,63590000,63595000,chr10,63595000,63600000,19,3.10826470359391e-83,1,63590523,63590765,63594947,63595245,4452
chr10,70565000,70570000,chr10,70570000,70575000,15,1.03060588583805e-57,0.999,70565292,70565467,70571180,70571526,5973
chr10,70995000,71000000,chr10,71005000,71010000,12,1.52656752535688e-44,1,70997391,70997634,71008196,71008351,10761
chr10,71080000,71085000,chr10,71090000,71095000,20,1.4521122626784e-76,1,71081168,71081358,71093978,71094501,12976
chr10,71080000,71085000,chr10,71100000,71105000,13,2.36968520224859e-50,1,71081168,71081358,71104667,71104898,23519
chr10,71090000,71095000,chr10,71095000,71100000,27,8.16394519814188e-107,1,71093978,71094501,71094655,71095580,878
chr10,71090000,71095000,chr10,71100000,71105000,8,2.5858230084159e-28,0.947,71093978,71094501,71104667,71104898,10543
chr10,71095000,71100000,chr10,71100000,71105000,24,1.30482757546157e-98,1,71094655,71095580,71104667,71104898,9665
chr10,71150000,71155000,chr10,71160000,71165000,13,1.77983358083547e-51,1,71152327,71152610,71162389,71162581,10016
chr10,71170000,71175000,chr10,71180000,71185000,10,1.60877997083575e-38,0.994,71170293,71170525,71184119,71184390,13845
chr10,71865000,71870000,chr10,71870000,71875000,13,4.5329203945416e-52,0.99,71867086,71867289,71874629,71874964,7609
chr10,71870000,71875000,chr10,71890000,71895000,7,4.55319548407468e-26,0.93,71874629,71874964,71892349,71892726,17741
chr10,71890000,71895000,chr10,71895000,71900000,31,5.12969285600233e-126,1,71892349,71892726,71896812,71897065,4401
chr10,71990000,71995000,chr10,72025000,72030000,7,1.54057180928403e-26,0.959,71992733,71993640,72025942,72026072,32820
chr10,72555000,72560000,chr10,72570000,72575000,12,3.17116072945207e-45,1,72558394,72558630,72572674,72572912,14281
chr10,72570000,72575000,chr10,72575000,72580000,22,6.2913086622471e-87,1,72572674,72572912,72575472,72575861,2873
chr10,73080000,73085000,chr10,73135000,73140000,8,1.2417356917812e-29,0.97,73083103,73083643,73137064,73137363,53840
chr10,73115000,73120000,chr10,73135000,73140000,8,1.87881708920339e-29,0.985,73119212,73119647,73137064,73137363,17784
chr10,73390000,73395000,chr10,73395000,73400000,15,6.52236052079138e-61,0.999,73390252,73390422,73397967,73398839,8066
chr10,73530000,73535000,chr10,73535000,73540000,34,2.66365744555212e-139,1,73533143,73533469,73537046,73537281,3857
chr10,73530000,73535000,chr10,73555000,73560000,7,1.12061668660751e-24,0.929,73533143,73533469,73557516,73557760,24332
chr10,73530000,73535000,chr10,73570000,73575000,9,8.71870918877275e-32,0.985,73533143,73533469,73571801,73572005,38597
chr10,73530000,73535000,chr10,73585000,73590000,8,1.60305697357238e-28,0.95,73533143,73533469,73589007,73589193,55794
chr10,73555000,73560000,chr10,73570000,73575000,8,8.31877495544526e-29,0.974,73557516,73557760,73571801,73572005,14265
chr10,73570000,73575000,chr10,73595000,73600000,9,3.07600422955434e-32,0.997,73571801,73572005,73596946,73597139,25139
chr10,73585000,73590000,chr10,73595000,73600000,11,8.57243418915124e-41,0.999,73589007,73589193,73596946,73597139,7942
chr10,73595000,73600000,chr10,73620000,73625000,7,3.98956508935125e-23,0.917,73596946,73597139,73620010,73620552,23238
chr10,73595000,73600000,chr10,73650000,73655000,9,1.40988698255036e-32,0.985,73596946,73597139,73651494,73651740,54574
chr10,73610000,73615000,chr10,73615000,73620000,31,2.44666062472065e-122,1,73610491,73611239,73618937,73619070,8138
chr10,73610000,73615000,chr10,73620000,73625000,21,5.17214936319848e-75,1,73610491,73611239,73620010,73620552,9416
chr10,73610000,73615000,chr10,73630000,73635000,10,1.64660179932846e-35,0.997,73610491,73611239,73634556,73634814,23820
chr10,73615000,73620000,chr10,73620000,73625000,41,1.20284110250912e-160,1,73618937,73619070,73620010,73620552,1277
chr10,73615000,73620000,chr10,73630000,73635000,17,1.03213790072923e-64,1,73618937,73619070,73634556,73634814,15681
chr10,73620000,73625000,chr10,73630000,73635000,30,5.57223540650816e-114,1,73620010,73620552,73634556,73634814,14404
chr10,73620000,73625000,chr10,73645000,73650000,9,1.59516025927775e-30,0.993,73620010,73620552,73648352,73648994,28392
chr10,73620000,73625000,chr10,73650000,73655000,7,2.52902733365541e-23,0.941,73620010,73620552,73651494,73651740,31336
chr10,73645000,73650000,chr10,73650000,73655000,33,2.01345168649463e-135,1,73648352,73648994,73651494,73651740,2944
chr10,73785000,73790000,chr10,73790000,73795000,26,4.20369840071665e-106,1,73788228,73788459,73792508,73792716,4268
chr10,73790000,73795000,chr10,73805000,73810000,11,3.9262658873228e-40,0.999,73792508,73792716,73806267,73806534,13788
chr10,74015000,74020000,chr10,74020000,74025000,26,1.68755628428824e-98,1,74014853,74015147,74020479,74020731,5605
chr10,74100000,74105000,chr10,74110000,74115000,11,5.4708939680073e-42,1,74100207,74100499,74113706,74115012,14006
chr10,74415000,74420000,chr10,74420000,74425000,15,1.86306587871705e-59,1,74419423,74419636,74423962,74424168,4535
chr10,75000000,75005000,chr10,75005000,75010000,23,8.42072910391719e-88,1,75004700,75005037,75006403,75007281,1973
chr10,75255000,75260000,chr10,75275000,75280000,9,3.96640291190938e-31,0.992,75254924,75256239,75277269,75277497,21801
chr10,75275000,75280000,chr10,75285000,75290000,21,5.08678145099309e-81,1,75277269,75277497,75289257,75289442,11966
chr10,75540000,75545000,chr10,75545000,75550000,49,2.01804566229963e-192,1,75541535,75542328,75544938,75545479,3277
chr10,75635000,75640000,chr10,75645000,75650000,8,3.3367751176518e-29,0.958,75639436,75639710,75645809,75646079,6371
chr10,75645000,75650000,chr10,75665000,75670000,7,3.70425873438841e-26,0.927,75645809,75646079,75668802,75669071,22992
chr10,75645000,75650000,chr10,75690000,75695000,7,5.49978805092104e-25,0.932,75645809,75646079,75690437,75690699,44624
chr10,75670000,75675000,chr10,75690000,75695000,8,7.95747801358378e-29,0.975,75670771,75671402,75690437,75690699,19481
chr10,7830000,7835000,chr10,7835000,7840000,13,4.41227951193601e-54,0.991,7829997,7830486,7839534,7839797,9424
chr10,79470000,79475000,chr10,79475000,79480000,25,5.98624573715557e-99,1,79471218,79471437,79479365,79479572,8141
chr10,79670000,79675000,chr10,79685000,79690000,15,7.530636232863e-59,1,79671386,79671605,79685772,79687016,14898
chr10,79670000,79675000,chr10,79730000,79735000,9,6.21738166321863e-31,0.963,79671386,79671605,79731044,79731492,59772
chr10,80745000,80750000,chr10,80760000,80765000,8,2.23733967091029e-31,0.979,80749103,80749306,80760709,80760861,11580
chr10,80785000,80790000,chr10,80795000,80800000,16,3.23683177739037e-61,1,80787535,80787760,80798515,80798847,11033
chr10,80840000,80845000,chr10,80850000,80855000,9,2.67647894223692e-34,0.991,80844091,80844420,80853382,80853671,9271
chr10,80850000,80855000,chr10,80855000,80860000,27,4.25289107021689e-114,1,80853382,80853671,80856890,80857091,3464
chr10,80885000,80890000,chr10,80890000,80895000,12,6.65377188986531e-50,0.98,80886930,80887249,80892446,80892670,5468
chr10,80890000,80895000,chr10,80895000,80900000,33,2.80807200392497e-143,1,80892446,80892670,80898728,80899128,6370
chr10,80935000,80940000,chr10,80945000,80950000,17,2.92890520222137e-65,1,80937893,80938937,80948020,80948234,9712
chr10,81055000,81060000,chr10,81065000,81070000,9,1.1749888923961e-37,0.99,81058532,81058770,81067220,81067351,8634
chr10,835000,840000,chr10,845000,850000,8,3.17585923382646e-33,0.978,834921,835242,848969,849147,13976
chr10,86025000,86030000,chr10,86035000,86040000,9,5.77384922373237e-34,0.989,86027372,86027517,86039562,86039763,12218
chr10,86100000,86105000,chr10,86110000,86115000,13,1.74599591391217e-52,1,86101308,86101540,86112091,86112258,10750
chr10,91110000,91115000,chr10,91115000,91120000,11,3.91811438604028e-51,0.924,91111991,91112199,91115252,91115518,3290
chr10,93340000,93345000,chr10,93350000,93355000,15,1.32951534041814e-63,1,93340273,93340498,93351404,93351575,11104
chr10,94675000,94680000,chr10,94680000,94685000,13,3.96740907345693e-62,0.996,94675726,94675920,94683256,94683426,7518
chr10,97825000,97830000,chr10,97845000,97850000,7,1.82591923550509e-30,0.954,97825310,97825581,97849346,97850248,24351
chr10,97880000,97885000,chr10,97885000,97890000,14,2.68631770965615e-59,0.997,97884264,97884858,97889122,97890658,5329
chr10,99165000,99170000,chr10,99170000,99175000,11,7.87594064600104e-46,0.939,99167249,99167481,99174608,99174778,7328
chr10,99170000,99175000,chr10,99175000,99180000,30,1.63667775934492e-132,1,99174608,99174778,99178772,99179033,4209
chr10,99625000,99630000,chr10,99635000,99640000,9,3.59307753985581e-36,0.988,99629261,99629473,99638687,99639574,9763
chr11,107880000,107885000,chr11,107890000,107895000,9,9.61615618219742e-35,0.995,107879425,107880657,107890646,107890886,10725
chr11,107890000,107895000,chr11,107895000,107900000,18,4.27089486308332e-76,1,107890646,107890886,107897850,107898028,7173
chr11,10875000,10880000,chr11,10880000,10885000,26,1.56916351852982e-105,1,10878848,10880629,10881730,10881862,2057
chr11,10880000,10885000,chr11,10885000,10890000,17,1.24368814386732e-72,1,10881730,10881862,10888121,10888273,6401
chr11,111780000,111785000,chr11,111785000,111790000,19,1.30651492023619e-82,1,111782646,111782843,111789596,111789770,6938
chr11,114015000,114020000,chr11,114030000,114035000,7,7.5379919499886e-28,0.942,114018774,114019024,114030711,114030910,11911
chr11,116695000,116700000,chr11,116705000,116710000,8,2.23970249314563e-32,0.951,116697468,116697604,116706623,116706947,9249
chr11,117870000,117875000,chr11,117880000,117885000,14,1.31377823907946e-54,1,117872672,117873227,117883063,117883307,10235
chr11,117970000,117975000,chr11,117975000,117980000,15,1.90184090728342e-61,0.998,117973448,117973813,117975096,117975232,1533
chr11,118180000,118185000,chr11,118185000,118190000,18,3.35527014478573e-80,1,118181949,118182148,118187411,118187598,5456
chr11,118400000,118405000,chr11,118420000,118425000,9,3.02407538648582e-36,0.994,118401149,118402002,118423133,118423287,21634
chr11,118400000,118405000,chr11,118435000,118440000,7,2.30163087204055e-27,0.939,118401149,118402002,118436609,118436888,35173
chr11,118480000,118485000,chr11,118490000,118495000,13,1.15143049959993e-52,1,118481687,118481993,118491878,118492231,10214
chr11,118480000,118485000,chr11,118495000,118500000,8,9.20379145417108e-32,0.981,118481687,118481993,118496779,118496937,15018
chr11,118490000,118495000,chr11,118495000,118500000,39,3.0724425308589e-164,1,118491878,118492231,118496779,118496937,4803
chr11,118490000,118495000,chr11,118505000,118510000,11,1.37515259333359e-41,1,118491878,118492231,118505518,118505697,13553
chr11,118490000,118495000,chr11,118510000,118515000,8,4.52422833085948e-31,0.979,118491878,118492231,118513921,118514160,21986
chr11,118505000,118510000,chr11,118510000,118515000,19,2.43169100328858e-81,1,118505518,118505697,118513921,118514160,8433
chr11,118525000,118530000,chr11,118530000,118535000,12,6.14843705290379e-51,0.982,118529519,118529655,118530273,118530423,761
chr11,118570000,118575000,chr11,118575000,118580000,15,5.24615698033378e-61,1,118570636,118570859,118579026,118579249,8390
chr11,118655000,118660000,chr11,118660000,118665000,12,8.34687493229473e-50,0.975,118659050,118659271,118660716,118662703,2549
chr11,118715000,118720000,chr11,118720000,118725000,18,7.796900426804e-74,1,118718417,118718554,118723923,118724139,5545
chr11,118745000,118750000,chr11,118755000,118760000,16,2.63462803779915e-66,1,118748199,118748432,118758429,118758788,10293
chr11,118850000,118855000,chr11,118865000,118870000,12,1.10081775845675e-42,1,118851103,118851462,118868502,118869022,17479
chr11,118910000,118915000,chr11,118925000,118930000,8,2.98347500329004e-32,0.975,118910809,118910957,118927681,118928499,17207
chr11,118960000,118965000,chr11,118965000,118970000,24,1.38193349710315e-95,1,118964645,118964963,118965538,118966276,1103
chr11,119015000,119020000,chr11,119025000,119030000,10,5.50986919210915e-41,0.998,119015706,119015859,119024935,119025210,9290
chr11,119295000,119300000,chr11,119310000,119315000,10,2.8212451793693e-40,0.999,119297958,119298226,119311977,119312241,14017
chr11,119345000,119350000,chr11,119350000,119355000,17,8.21622668117357e-72,0.999,119345416,119345640,119352060,119352327,6665
chr11,120140000,120145000,chr11,120150000,120155000,10,2.40295261852167e-41,0.996,120140543,120140729,120152019,120152336,11541
chr11,120150000,120155000,chr11,120165000,120170000,8,1.84031992888585e-31,0.977,120152019,120152336,120166392,120166519,14278
chr11,120165000,120170000,chr11,120175000,120180000,12,6.62643444902608e-48,1,120166392,120166519,120177432,120177571,11046
chr11,120210000,120215000,chr11,120225000,120230000,7,4.12482117591797e-27,0.926,120210202,120210550,120229856,120229989,19546
chr11,12130000,12135000,chr11,12135000,12140000,33,1.44637412687669e-135,1,12131815,12132259,12137940,12138275,6070
chr11,12130000,12135000,chr11,12140000,12145000,9,1.07829500517539e-33,0.99,12131815,12132259,12140401,12140607,8467
chr11,12135000,12140000,chr11,12140000,12145000,44,3.91205302950347e-187,1,12137940,12138275,12140401,12140607,2396
chr11,12295000,12300000,chr11,12300000,12305000,16,1.39120178312304e-70,1,12296189,12296686,12303402,12303656,7091
chr11,123950000,123955000,chr11,123965000,123970000,9,9.40700286474459e-35,0.995,123950388,123950575,123967058,123967316,16705
chr11,125295000,125300000,chr11,125300000,125305000,13,2.52055208181446e-56,0.998,125299093,125299271,125303428,125303683,4373
chr11,125385000,125390000,chr11,125400000,125405000,11,5.66931144498225e-44,0.999,125387056,125387262,125402631,125402807,15560
chr11,125395000,125400000,chr11,125400000,125405000,25,3.53960410214666e-104,1,125395351,125395558,125402631,125402807,7264
chr11,125790000,125795000,chr11,125800000,125805000,11,1.20105903564846e-45,0.998,125794587,125794694,125803598,125803862,9089
chr11,12595000,12600000,chr11,12600000,12605000,19,3.10741891081211e-82,1,12599275,12599441,12603399,12603575,4129
chr11,12695000,12700000,chr11,12700000,12705000,13,6.71166553442185e-56,0.994,12695551,12696096,12701842,12702200,6197
chr11,12700000,12705000,chr11,12705000,12710000,14,1.30513685444304e-61,0.998,12701842,12702200,12708404,12708552,6457
chr11,12830000,12835000,chr11,12835000,12840000,16,1.25948516223567e-65,1,12832188,12832389,12836397,12836641,4230
chr11,134225000,134230000,chr11,134230000,134235000,11,2.33569533996275e-48,0.923,134225555,134225738,134230168,134230427,4651
chr11,13685000,13690000,chr11,13690000,13695000,14,9.56618327309055e-58,0.997,13689539,13689941,13690089,13690371,490
chr11,15050000,15055000,chr11,15055000,15060000,17,7.96875673743834e-76,1,15053606,15053819,15057895,15058049,4259
chr11,15905000,15910000,chr11,15910000,15915000,13,5.81716387194611e-53,0.994,15906383,15906543,15913478,15913640,7096
chr11,17095000,17100000,chr11,17100000,17105000,19,8.59132611564783e-75,1,17098722,17100145,17100245,17100451,914
chr11,18340000,18345000,chr11,18350000,18355000,10,1.34981305915439e-38,0.997,18343488,18344311,18350759,18351061,7010
chr11,18395000,18400000,chr11,18405000,18410000,8,2.55787718580555e-32,0.962,18397877,18398122,18405228,18405613,7421
chr11,20100000,20105000,chr11,20110000,20115000,11,2.2043505400365e-43,1,20101685,20101875,20111714,20111929,10041
chr11,22810000,22815000,chr11,22815000,22820000,16,5.69421851671558e-70,1,22814185,22814299,22817568,22817756,3420
chr11,2880000,2885000,chr11,2885000,2890000,17,4.77268374931972e-82,1,2880305,2880521,2888899,2889143,8608
