chromosome1,start1,end1,chromosome2,start2,end2,PET Count,Hypergeometric p-value,Bayes mixture 1
chr4,21145000,21150000,chr4,21150000,21155000,3,1.38655410938997e-14,0
chr13,25515000,25520000,chr13,25520000,25525000,1,7.77260849940274e-06,0
chr2,84420000,84425000,chr2,84425000,84430000,3,7.10369668890694e-13,0
chr5,27395000,27400000,chr5,27400000,27405000,1,3.02252612208886e-05,0
chr14,25795000,25800000,chr14,25800000,25805000,1,2.05218097781687e-05,0
chrX,23440000,23445000,chrX,23445000,23450000,2,9.84811677309557e-11,0
chr12,127170000,127175000,chr12,127175000,127180000,2,1.46607753768043e-09,0
chr7,54510000,54515000,chr7,54515000,54520000,1,9.66815520522817e-06,0
chrX,150000000,150005000,chrX,150005000,150010000,2,2.3510357790985e-09,0
chrX,88330000,88335000,chrX,88335000,88340000,1,1.13098992451909e-05,0
chr1,121160000,121165000,chr1,121165000,121170000,2,2.82454107996466e-10,0
chr2,242460000,242465000,chr2,242465000,242470000,1,0.000119431166115699,0
chr5,550000,555000,chr5,555000,560000,2,6.64778923127888e-09,0
chr10,10325000,10330000,chr10,10330000,10335000,1,2.38488411368003e-05,0
chr8,142860000,142865000,chr8,142865000,142870000,3,1.2927320893404e-12,0
chrX,93960000,93965000,chrX,93965000,93970000,1,4.18770577380416e-06,0
chr3,129720000,129725000,chr3,129725000,129730000,1,4.38995200497579e-06,0
chr2,156700000,156705000,chr2,156710000,156715000,1,0.000503028397121757,0
chr3,77520000,77525000,chr3,77525000,77530000,1,2.50583048661725e-05,0
chr3,175030000,175035000,chr3,175035000,175040000,1,9.45520166469887e-05,0
chr2,55965000,55970000,chr2,55970000,55975000,1,1.44545854241507e-05,0
chr11,49635000,49640000,chr11,49640000,49645000,1,9.13280274528445e-06,0
chr6,161430000,161435000,chr6,161435000,161440000,2,4.52410373065372e-09,0
chr5,166640000,166645000,chr5,166645000,166650000,3,1.43393479126622e-13,0
chr14,20240000,20245000,chr14,20245000,20250000,1,2.8329791325041e-05,0
chr13,94245000,94250000,chr13,94250000,94255000,2,4.37202144115489e-09,0
chr6,40900000,40905000,chr6,40905000,40910000,2,1.49865330926901e-08,0
chr7,80840000,80845000,chr7,80845000,80850000,2,1.61283946170637e-09,0
chr10,87240000,87245000,chr10,87245000,87250000,1,0.000146644177604188,0
chr5,20165000,20170000,chr5,20170000,20175000,2,2.82686700976362e-10,0
chr14,87210000,87215000,chr14,87215000,87220000,1,2.50583048661725e-05,0
chr13,19685000,19690000,chr13,19690000,19695000,3,4.86098961982539e-16,0
chr4,28325000,28330000,chr4,28330000,28335000,1,4.18596409237985e-05,0
chr16,26205000,26210000,chr16,26210000,26215000,2,1.29044970319294e-09,0
chrX,67035000,67040000,chrX,67040000,67045000,2,3.52990874474356e-11,0
chr9,110110000,110115000,chr9,110115000,110120000,2,9.43014668210283e-09,0
chr4,66335000,66340000,chr4,66340000,66345000,1,3.61654106674382e-05,0
chr9,92965000,92970000,chr9,92970000,92975000,3,1.76485739811324e-13,0
chrX,6120000,6125000,chrX,6125000,6130000,2,4.09889068937226e-11,0
chr21,37410000,37415000,chr21,37415000,37420000,2,4.13971643802523e-09,0
chr16,78650000,78655000,chr16,78655000,78660000,1,2.67475842396593e-05,0
chr20,26140000,26145000,chr20,26145000,26150000,1,8.44651894454117e-05,0
chr10,132835000,132840000,chr10,132840000,132845000,1,2.39836681621827e-05,0
chr4,139005000,139010000,chr4,139010000,139015000,2,7.11071343143956e-09,0
chr13,91185000,91190000,chr13,91190000,91195000,3,8.92956923301017e-14,0
chr21,22285000,22290000,chr21,22290000,22295000,2,5.21122136431053e-10,0
chr12,129890000,129895000,chr12,129895000,129900000,3,9.68500960232553e-15,0
chr1,89045000,89050000,chr1,89050000,89055000,2,4.14839759837501e-09,0
chr2,73865000,73870000,chr2,73870000,73875000,1,3.82749806946684e-05,0
chr6,160920000,160925000,chr6,160925000,160930000,3,3.68997296903939e-13,0
chr2,210265000,210270000,chr2,210270000,210275000,4,6.35346406411081e-16,0
chr4,134175000,134180000,chr4,134180000,134185000,1,6.80142204644384e-05,0
chr9,121410000,121415000,chr9,121415000,121420000,1,9.37907475452076e-05,0
chr5,55625000,55630000,chr5,55630000,55635000,3,1.17870974709097e-13,0
chr4,185255000,185260000,chr4,185260000,185265000,1,6.66938198948938e-05,0
chr22,44385000,44390000,chr22,44390000,44395000,2,3.41914738155027e-09,0
chr4,73405000,73410000,chr4,73415000,73420000,1,5.29980986017157e-05,0
chr3,26410000,26415000,chr3,26415000,26420000,2,2.32136391688766e-10,0
chrX,42165000,42170000,chrX,42170000,42175000,3,6.03443250646939e-15,0
chr18,46970000,46975000,chr18,46975000,46980000,2,8.99374832718631e-10,0
chr1,161790000,161795000,chr1,161795000,161800000,2,1.66242739969978e-08,0
chr1,72920000,72925000,chr1,72925000,72930000,1,3.17638378090698e-05,0
chr1,118305000,118310000,chr1,118310000,118315000,1,6.74908094006665e-05,0
chr4,106330000,106335000,chr4,106335000,106340000,1,5.45643714605312e-05,0
chrX,35390000,35395000,chrX,35395000,35400000,1,1.91537137363168e-05,0
chrX,43235000,43240000,chrX,43240000,43245000,1,5.27800103144971e-05,0
chrX,17385000,17390000,chrX,17390000,17395000,2,3.2158987590967e-09,0
chr2,129590000,129595000,chr2,129595000,129600000,2,1.27377757060906e-08,0
chr1,3135000,3140000,chr1,3140000,3145000,3,7.01614241018583e-14,0
chr13,40375000,40380000,chr13,40380000,40385000,2,1.53371563944873e-09,0
chr5,110010000,110015000,chr5,110015000,110020000,3,1.87310323497641e-13,0
chr11,111970000,111975000,chr11,111980000,111985000,1,0.000148293391233412,0
chr2,122715000,122720000,chr2,122720000,122725000,1,0.000117528105714014,0
chr2,236765000,236770000,chr2,236770000,236775000,3,1.27141957355111e-12,0
chr10,110890000,110895000,chr10,110895000,110900000,1,6.04011300144742e-05,0
chr10,94460000,94465000,chr10,94465000,94470000,3,1.17895130945042e-12,0
chr6,115525000,115530000,chr6,115530000,115535000,2,2.3148587815139e-09,0
chr2,116640000,116645000,chr2,116645000,116650000,2,2.8822951231415e-10,0
chr1,21770000,21775000,chr1,21775000,21780000,2,1.272884565348e-09,0
chr3,85955000,85960000,chr3,85960000,85965000,1,5.74986161131469e-05,0
chr3,84095000,84100000,chr3,84100000,84105000,2,2.2803343363262e-09,0
chr5,3680000,3685000,chr5,3685000,3690000,1,3.64033324833637e-05,0
chr6,115570000,115575000,chr6,115575000,115580000,1,4.01505867565314e-05,0
chr10,85435000,85440000,chr10,85440000,85445000,1,7.10990536765961e-05,0
chrX,32350000,32355000,chrX,32355000,32360000,3,1.38310184480676e-15,0
chr22,18490000,18495000,chr22,18495000,18500000,3,3.0151807008289e-13,0
chr15,26470000,26475000,chr15,26475000,26480000,3,3.16163266389392e-14,0
chr5,101900000,101905000,chr5,101905000,101910000,2,5.08688973260815e-09,0
chr17,17065000,17070000,chr17,17070000,17075000,1,4.92033581944645e-05,0
chr4,146390000,146395000,chr4,146395000,146400000,3,3.39378797988801e-13,0
chr5,97060000,97065000,chr5,97065000,97070000,3,1.84112661357133e-13,0
chr9,25510000,25515000,chr9,25515000,25520000,1,6.23757821583487e-05,0
chr6,81610000,81615000,chr6,81615000,81620000,1,7.43979975845686e-05,0
chr19,56280000,56285000,chr19,56285000,56290000,1,0.000115910545270118,0
chr5,62820000,62825000,chr5,62825000,62830000,2,4.36349700144441e-10,0
chr2,98360000,98365000,chr2,98370000,98375000,1,0.000203182562947162,0
chr1,73900000,73905000,chr1,73905000,73910000,3,8.01252749944353e-15,0
chr10,43070000,43075000,chr10,43075000,43080000,2,6.33740174959579e-09,0
chr2,22340000,22345000,chr2,22345000,22350000,2,2.35866725216051e-10,0
chrX,141025000,141030000,chrX,141030000,141035000,1,1.37685396873922e-05,0
chr6,115275000,115280000,chr6,115280000,115285000,1,5.0948070848101e-05,0
chr8,4400000,4405000,chr8,4405000,4410000,1,4.49922331442883e-05,0
chr5,154980000,154985000,chr5,154985000,154990000,2,1.3858299676754e-09,0
chr15,85720000,85725000,chr15,85725000,85730000,2,2.92585173744799e-09,0
chr8,58870000,58875000,chr8,58875000,58880000,1,0.000149680964166802,0
chr13,43260000,43265000,chr13,43265000,43270000,2,1.19647941723812e-08,0
chr11,1320000,1325000,chr11,1325000,1330000,1,4.20539412632567e-05,0
chr2,233040000,233045000,chr2,233045000,233050000,1,6.92592480278295e-05,0
chr18,12890000,12895000,chr18,12895000,12900000,2,2.33638909217525e-08,0
chr14,99095000,99100000,chr14,99100000,99105000,3,6.23411438692696e-14,0
chr4,185190000,185195000,chr4,185195000,185200000,2,4.20050645097312e-10,0
chrX,120955000,120960000,chrX,120960000,120965000,2,3.49333379209787e-09,0
chr2,178650000,178655000,chr2,178655000,178660000,1,1.96176897292954e-05,0
chr13,63690000,63695000,chr13,63695000,63700000,3,2.73661468047123e-13,0
chr5,116285000,116290000,chr5,116290000,116295000,2,2.55331577755631e-08,0
chr1,73210000,73215000,chr1,73215000,73220000,2,7.53729312669367e-10,0
chr21,42420000,42425000,chr21,42425000,42430000,2,6.59896190433130e-09,0
chr15,27310000,27315000,chr15,27315000,27320000,1,3.12285100611393e-05,0
chrX,10695000,10700000,chrX,10700000,10705000,2,1.2638983326292e-09,0
chr7,41470000,41475000,chr7,41475000,41480000,2,1.19807374942976e-09,0
chr13,87255000,87260000,chr13,87260000,87265000,2,1.39575247224301e-09,0
chr11,42540000,42545000,chr11,42545000,42550000,2,5.14222657743728e-10,0
chr1,106415000,106420000,chr1,106420000,106425000,2,1.00267146876748e-09,0
chr12,33190000,33195000,chr12,33195000,33200000,1,7.91798534985184e-05,0
chr9,3050000,3055000,chr9,3055000,3060000,1,2.34641913416517e-05,0
chr10,53020000,53025000,chr10,53025000,53030000,1,0.000105225415804388,0
chr13,38555000,38560000,chr13,38560000,38565000,1,2.06526696433468e-05,0
chr20,62450000,62455000,chr20,62455000,62460000,2,1.47435174701226e-09,0
chr1,78660000,78665000,chr1,78665000,78670000,3,5.24343061856142e-13,0
chr7,52570000,52575000,chr7,52575000,52580000,1,2.98247548666947e-05,0
chr10,77505000,77510000,chr10,77510000,77515000,2,5.11509421340303e-09,0
chr4,4055000,4060000,chr4,4060000,4065000,2,3.7780671417161e-11,0
chr20,26235000,26240000,chr20,26240000,26245000,3,5.6966541910559e-17,0
chr4,65605000,65610000,chr4,65610000,65615000,2,2.13922631745446e-10,0
chr2,126805000,126810000,chr2,126810000,126815000,2,5.29799274179397e-10,0
chr2,1640000,1645000,chr2,1645000,1650000,2,1.81119252049205e-09,0
chr3,173230000,173235000,chr3,173240000,173245000,1,0.000251331528310766,0
chrX,83765000,83770000,chrX,83770000,83775000,1,1.4561648169609e-05,0
chr4,190605000,190610000,chr4,190610000,190615000,2,1.35517696022894e-09,0
chr8,69730000,69735000,chr8,69735000,69740000,3,2.25210288040121e-13,0
chr5,3645000,3650000,chr5,3650000,3655000,3,3.77908555642775e-15,0
chr1,102890000,102895000,chr1,102895000,102900000,2,7.61944809133278e-10,0
chr3,94370000,94375000,chr3,94375000,94380000,1,2.76239450343798e-05,0
chr6,42835000,42840000,chr6,42840000,42845000,1,0.000186640329869643,0
chr2,77275000,77280000,chr2,77280000,77285000,1,3.93892420332541e-05,0
chr16,79215000,79220000,chr16,79220000,79225000,1,4.20658372101232e-05,0
chrX,144555000,144560000,chrX,144560000,144565000,1,1.07190305885245e-05,0
