chromosome1,start1,end1,chromosome2,start2,end2,PET Count,Hypergeometric p-value,Bayes mixture 1,YY1peak1_start,YY1peak1_end,YY1peak2_start,YY1peak2_end,YY1_distance
chr10,118705000,118710000,chr10,118760000,118765000,7,5.92797710205117e-24,0.902,118706696,118707009,118764039,118765175,57754
chr10,118760000,118765000,chr10,118765000,118770000,57,3.45155798612165e-224,1,118764039,118765175,118766671,118766897,2177
chr10,118930000,118935000,chr10,118935000,118940000,41,6.87797126165473e-169,1,118934385,118934702,118935511,118935733,1078
chr10,11915000,11920000,chr10,11920000,11925000,24,6.65376210087691e-102,1,11917804,11918206,11924061,11924363,6207
chr10,119200000,119205000,chr10,119205000,119210000,40,1.75447639329202e-166,1,119202401,119202774,119209057,119209449,6665
chr10,120000000,120005000,chr10,120015000,120020000,7,6.56130579867759e-25,0.932,120000816,120001050,120018814,120019099,18023
chr10,120555000,120560000,chr10,120560000,120565000,25,1.48387342946709e-105,1,120559282,120559578,120563189,120563445,3887
chr10,120835000,120840000,chr10,120840000,120845000,38,1.236940381019e-156,1,120839525,120839990,120840109,120841017,805
chr10,120925000,120930000,chr10,120935000,120940000,7,6.16959543673335e-25,0.938,120924840,120925419,120937893,120938589,13111
chr10,121010000,121015000,chr10,121030000,121035000,8,4.15202710852167e-29,0.984,121012924,121013767,121030849,121031352,17755
chr10,121065000,121070000,chr10,121070000,121075000,42,7.53752745919883e-168,1,121065360,121066413,121074601,121074956,8892
chr10,121355000,121360000,chr10,121360000,121365000,17,2.85123028037392e-67,1,121355524,121356985,121362070,121362339,5950
chr10,121360000,121365000,chr10,121365000,121370000,22,2.66308075503696e-88,1,121362070,121362339,121367826,121368188,5802
chr10,121360000,121365000,chr10,121410000,121415000,8,4.36484452128523e-28,0.937,121362070,121362339,121410263,121411127,48490
chr10,121410000,121415000,chr10,121415000,121420000,16,2.9864240588102e-65,1,121410263,121411127,121417830,121418129,7284
chr10,121425000,121430000,chr10,121435000,121440000,7,8.48232167010581e-27,0.94,121427278,121427742,121439687,121439962,12314
chr10,122700000,122705000,chr10,122705000,122710000,21,1.91455974142617e-86,1,122702323,122702684,122708461,122708650,6052
chr10,122705000,122710000,chr10,122710000,122715000,16,4.98902725362498e-64,1,122708461,122708650,122713388,122713638,4957
chr10,123810000,123815000,chr10,123815000,123820000,28,4.34336745052282e-115,1,123811200,123811489,123816194,123816466,4985
chr10,123810000,123815000,chr10,123820000,123825000,11,2.88074648839173e-40,1,123811200,123811489,123822649,123823049,11504
chr10,123815000,123820000,chr10,123820000,123825000,21,1.06805257799854e-80,1,123816194,123816466,123822649,123823049,6519
chr10,124025000,124030000,chr10,124035000,124040000,11,1.34835779106888e-42,1,124027616,124027877,124039157,124039434,11549
chr10,125750000,125755000,chr10,125755000,125760000,10,2.59395182040199e-40,0.902,125754076,125754835,125755019,125755695,901
chr10,126060000,126065000,chr10,126065000,126070000,11,2.28496430342009e-42,0.949,126063199,126063369,126067366,126067674,4236
chr10,126065000,126070000,chr10,126075000,126080000,11,2.36489463438878e-41,1,126067366,126067674,126077816,126078121,10448
chr10,126090000,126095000,chr10,126105000,126110000,7,5.1563928473469e-25,0.935,126092179,126092389,126107218,126107852,15251
chr10,126425000,126430000,chr10,126430000,126435000,12,2.51128331108208e-51,0.984,126425339,126425620,126432542,126432906,7244
chr10,126480000,126485000,chr10,126490000,126495000,19,6.94294681700313e-71,1,126480185,126480960,126490093,126491010,9979
chr10,126730000,126735000,chr10,126735000,126740000,31,4.41150270100827e-119,1,126734283,126734711,126736537,126736992,2267
chr10,127565000,127570000,chr10,127580000,127585000,8,3.52091976383262e-25,0.976,127567986,127568363,127584223,127584668,16271
chr10,129845000,129850000,chr10,129865000,129870000,7,6.35018637708394e-26,0.946,129845600,129846004,129867684,129867954,22017
chr10,129865000,129870000,chr10,129875000,129880000,8,1.50729532148801e-30,0.978,129867684,129867954,129876807,129877070,9119
chr10,135070000,135075000,chr10,135075000,135080000,10,7.15696721475201e-51,0.922,135072760,135073107,135075282,135075481,2448
chr10,13570000,13575000,chr10,13575000,13580000,13,1.80555317023939e-56,0.999,13570981,13571190,13578764,13579019,7806
chr10,14995000,15000000,chr10,15000000,15005000,11,4.86345211826345e-44,0.966,14996077,14996575,15001551,15002085,5492
chr10,18940000,18945000,chr10,18945000,18950000,24,3.03885025027086e-103,1,18940428,18940768,18947982,18948430,7608
chr10,21810000,21815000,chr10,21815000,21820000,21,1.5234131193542e-87,1,21814733,21815113,21816272,21816487,1456
chr10,22605000,22610000,chr10,22610000,22615000,23,1.37428859183018e-92,1,22605224,22605507,22609771,22610653,4846
chr10,22610000,22615000,chr10,22625000,22630000,7,1.54598503587908e-27,0.964,22609771,22610653,22629238,22629591,19202
chr10,23380000,23385000,chr10,23385000,23390000,13,4.91034209041286e-53,0.994,23384288,23384703,23385059,23385313,690
chr10,25180000,25185000,chr10,25190000,25195000,8,8.20773944961396e-30,0.982,25180858,25181070,25190828,25191363,10131
chr10,28405000,28410000,chr10,28410000,28415000,22,3.93924835447228e-88,1,28408984,28409271,28413104,28413357,4103
chr10,28670000,28675000,chr10,28680000,28685000,8,4.01513275455199e-30,0.979,28670804,28671031,28682914,28683201,12140
chr10,30970000,30975000,chr10,30975000,30980000,11,1.75362487979356e-48,0.956,30971282,30971735,30976589,30976878,5225
chr10,3130000,3135000,chr10,3135000,3140000,16,1.84567563334053e-69,0.999,3133668,3133960,3137894,3138132,4199
chr10,32215000,32220000,chr10,32225000,32230000,10,1.84651167574031e-40,0.999,32217572,32218079,32229722,32230251,12161
chr10,33245000,33250000,chr10,33250000,33255000,25,1.29478583516932e-102,1,33247214,33247466,33250783,33251178,3640
chr10,33245000,33250000,chr10,33270000,33275000,10,2.06691992917538e-37,0.996,33247214,33247466,33272207,33272522,25024
chr10,33245000,33250000,chr10,33290000,33295000,8,3.6427771304152e-29,0.943,33247214,33247466,33294634,33294903,47428
chr10,33250000,33255000,chr10,33265000,33270000,10,5.43781478062365e-37,0.998,33250783,33251178,33269374,33269829,18621
chr10,33250000,33255000,chr10,33290000,33295000,15,8.00601763091949e-56,1,33250783,33251178,33294634,33294903,43788
chr10,33265000,33270000,chr10,33270000,33275000,38,1.27013283884262e-157,1,33269374,33269829,33272207,33272522,2763
chr10,33270000,33275000,chr10,33290000,33295000,12,2.87431609014336e-43,1,33272207,33272522,33294634,33294903,22404
chr10,33435000,33440000,chr10,33440000,33445000,25,2.86945470771862e-111,1,33434895,33435137,33444772,33445049,9894
chr10,3505000,3510000,chr10,3510000,3515000,17,2.76960839925073e-73,1,3509577,3509819,3511380,3511658,1821
chr10,3505000,3510000,chr10,3520000,3525000,10,5.65658275258285e-38,0.998,3509577,3509819,3524562,3524849,15007
chr10,370000,375000,chr10,375000,380000,25,6.48696182345271e-110,1,369875,370142,375329,375643,5477
chr10,3845000,3850000,chr10,3850000,3855000,32,5.3406347535586e-140,1,3848082,3848436,3852243,3852676,4200
chr10,43780000,43785000,chr10,43785000,43790000,11,1.27077022826554e-43,0.951,43782741,43783006,43788722,43788901,5938
chr10,43835000,43840000,chr10,43840000,43845000,17,1.62095237898554e-80,1,43836094,43836432,43843963,43844193,7815
chr10,4705000,4710000,chr10,4710000,4715000,21,5.24593957763466e-87,1,4705274,4705677,4713563,4713972,8292
chr10,48330000,48335000,chr10,48335000,48340000,16,6.46436649397253e-70,1,48332179,48332467,48336144,48336401,3949
chr10,5585000,5590000,chr10,5590000,5595000,19,1.70032351082913e-80,1,5588882,5589168,5589940,5590332,1111
chr10,6315000,6320000,chr10,6320000,6325000,19,3.68035616668115e-77,1,6317179,6317607,6321481,6321737,4216
chr10,6315000,6320000,chr10,6340000,6345000,10,3.37456698149509e-37,0.998,6317179,6317607,6341223,6341563,24000
chr10,6340000,6345000,chr10,6360000,6365000,9,2.20936085357602e-34,0.995,6341223,6341563,6363681,6363886,22390
chr10,65220000,65225000,chr10,65225000,65230000,13,1.14479664222178e-52,0.992,65224704,65224995,65225549,65225946,898
chr10,65460000,65465000,chr10,65465000,65470000,18,3.61371601249187e-69,1,65459959,65460149,65467000,65467387,7139
chr10,65460000,65465000,chr10,65470000,65475000,15,1.28745506840944e-53,1,65459959,65460149,65471709,65472467,12034
chr10,65465000,65470000,chr10,65470000,65475000,36,5.74350123897384e-144,1,65467000,65467387,65471709,65472467,4894
chr10,69850000,69855000,chr10,69855000,69860000,28,6.66330680763415e-112,1,69853583,69854050,69856957,69857237,3280
chr10,70565000,70570000,chr10,70585000,70590000,6,1.28293713195871e-24,0.912,70565172,70565482,70587161,70587341,21924
chr10,71210000,71215000,chr10,71215000,71220000,19,4.64455244804592e-84,1,71211011,71211266,71218561,71218853,7568
chr10,71385000,71390000,chr10,71400000,71405000,7,6.11282541609084e-29,0.978,71389813,71390108,71404363,71404561,14501
chr10,72305000,72310000,chr10,72310000,72315000,11,2.66611925751556e-46,0.97,72309679,72309914,72314140,72314461,4504
chr10,73135000,73140000,chr10,73140000,73145000,15,4.78158705484708e-63,0.999,73136980,73137475,73144066,73144247,6929
chr10,73525000,73530000,chr10,73530000,73535000,27,9.05395828002466e-113,1,73526458,73526783,73533186,73533440,6692
chr10,73620000,73625000,chr10,73630000,73635000,8,8.53186035668228e-30,0.987,73620151,73620500,73631050,73631401,10900
chr10,74005000,74010000,chr10,74010000,74015000,32,1.34789234134738e-135,1,74008673,74008940,74010545,74010710,1821
chr10,74005000,74010000,chr10,74015000,74020000,7,1.5834727922607e-27,0.95,74008673,74008940,74014945,74015141,6236
chr10,74010000,74015000,chr10,74015000,74020000,13,3.45397596233718e-51,0.995,74010545,74010710,74014945,74015141,4415
chr10,74010000,74015000,chr10,74020000,74025000,7,5.72615133859254e-25,0.912,74010545,74010710,74023429,74023752,12963
chr10,74015000,74020000,chr10,74020000,74025000,19,6.37476664436377e-78,1,74014945,74015141,74023429,74023752,8547
chr10,74020000,74025000,chr10,74050000,74055000,8,5.36132092349104e-29,0.964,74023429,74023752,74051956,74052284,28529
chr10,74035000,74040000,chr10,74050000,74055000,9,1.56964630841216e-33,0.993,74035178,74037201,74051956,74052284,15930
chr10,74035000,74040000,chr10,74065000,74070000,7,1.38909543586391e-25,0.934,74035178,74037201,74068182,74068544,32173
chr10,74050000,74055000,chr10,74055000,74060000,22,1.1529715851947e-87,1,74051956,74052284,74056857,74058183,5400
chr10,74050000,74055000,chr10,74065000,74070000,11,8.54407991774211e-41,0.997,74051956,74052284,74068182,74068544,16243
chr10,74055000,74060000,chr10,74065000,74070000,8,3.60899778377498e-29,0.974,74056857,74058183,74068182,74068544,10843
chr10,74055000,74060000,chr10,74075000,74080000,9,1.33440799238435e-33,0.995,74056857,74058183,74079352,74079635,21973
chr10,75005000,75010000,chr10,75010000,75015000,34,1.43548113495374e-139,1,75006831,75007272,75012084,75012746,5363
chr10,75530000,75535000,chr10,75545000,75550000,8,2.80469544261512e-31,0.981,75531908,75532987,75544935,75545401,12720
chr10,75540000,75545000,chr10,75545000,75550000,31,1.37619103062721e-131,1,75541555,75542058,75544935,75545401,3361
chr10,75650000,75655000,chr10,75655000,75660000,14,2.74922580165544e-55,0.997,75654304,75654607,75659181,75659461,4865
chr10,76965000,76970000,chr10,76970000,76975000,26,2.62203076446872e-113,1,76969617,76969979,76970089,76970978,735
chr10,79785000,79790000,chr10,79790000,79795000,25,7.34022579660392e-108,1,79789088,79789845,79793331,79793868,4133
chr10,80910000,80915000,chr10,80915000,80920000,13,6.93563895443977e-56,0.993,80911422,80912009,80917355,80917552,5738
chr10,81225000,81230000,chr10,81245000,81250000,9,8.57842666587777e-35,0.989,81227178,81227470,81248094,81248334,20890
chr10,82210000,82215000,chr10,82220000,82225000,8,3.03140409244073e-31,0.981,82213458,82213785,82220481,82220814,7026
chr10,82210000,82215000,chr10,82230000,82235000,7,1.19427855153354e-26,0.954,82213458,82213785,82231466,82231782,18002
chr10,82210000,82215000,chr10,82265000,82270000,13,6.74108795604274e-51,0.998,82213458,82213785,82269488,82269698,55971
chr10,82220000,82225000,chr10,82230000,82235000,7,1.78740857549762e-26,0.932,82220481,82220814,82231466,82231782,10976
chr10,82255000,82260000,chr10,82265000,82270000,10,6.78542174829346e-37,0.998,82258551,82258819,82269488,82269698,10908
chr10,86015000,86020000,chr10,86020000,86025000,16,7.46902311592993e-69,1,86016854,86017054,86024407,86024554,7526
chr10,86020000,86025000,chr10,86025000,86030000,33,1.98876803571906e-138,1,86024407,86024554,86027309,86027615,2981
chr10,88715000,88720000,chr10,88720000,88725000,14,2.05885064115293e-63,1,88718907,88719193,88720150,88720495,1272
chr10,91020000,91025000,chr10,91035000,91040000,10,1.50362883381852e-39,0.999,91020127,91020401,91037966,91038214,17826
chr10,95215000,95220000,chr10,95230000,95235000,7,6.44190296024759e-26,0.929,95218521,95219105,95230848,95231101,12161
chr10,95230000,95235000,chr10,95235000,95240000,29,2.67562985445535e-116,1,95230848,95231101,95235591,95235942,4792
chr10,95235000,95240000,chr10,95255000,95260000,7,3.07522155777303e-25,0.955,95235591,95235942,95256275,95256481,20611
chr10,97875000,97880000,chr10,97880000,97885000,16,5.50750187062281e-65,1,97878434,97878755,97884200,97884782,5896
chr10,97875000,97880000,chr10,97885000,97890000,9,3.32814082209641e-31,0.997,97878434,97878755,97889068,97890514,11196
chr10,97880000,97885000,chr10,97885000,97890000,26,1.24394059346032e-102,1,97884200,97884782,97889068,97890514,5300
chr10,99390000,99395000,chr10,99410000,99415000,8,1.21924942513782e-28,0.981,99392778,99393673,99411509,99411826,18442
chr10,99435000,99440000,chr10,99495000,99500000,7,2.15490547683499e-27,0.902,99436501,99436661,99496636,99496988,60231
chr10,99445000,99450000,chr10,99475000,99480000,7,1.06323772846813e-25,0.943,99446949,99447503,99478514,99478744,31403
chr10,99465000,99470000,chr10,99470000,99475000,20,1.03757515683583e-85,1,99469289,99469463,99473128,99474227,4301
chr10,99465000,99470000,chr10,99475000,99480000,12,1.48071316363589e-46,1,99469289,99469463,99478514,99478744,9253
chr10,99465000,99470000,chr10,99490000,99495000,8,5.98293833066214e-33,0.978,99469289,99469463,99491571,99491827,22323
chr10,99470000,99475000,chr10,99475000,99480000,15,2.84622216355495e-62,1,99473128,99474227,99478514,99478744,4951
chr10,99625000,99630000,chr10,99635000,99640000,11,4.51310991482733e-41,1,99629184,99629563,99638810,99639654,9858
chr10,99635000,99640000,chr10,99645000,99650000,13,1.77347779389887e-51,1,99638810,99639654,99649372,99649621,10264
chr11,102045000,102050000,chr11,102135000,102140000,8,1.77941059462439e-30,0.904,102049040,102049289,102139426,102139712,90404
chr11,102155000,102160000,chr11,102210000,102215000,13,1.80611200244241e-48,1,102158665,102158937,102212539,102212860,53898
chr11,102185000,102190000,chr11,102210000,102215000,13,1.18584711536674e-49,1,102188022,102188304,102212539,102212860,24536
chr11,102475000,102480000,chr11,102480000,102485000,53,3.65736478819324e-214,1,102475789,102476072,102483768,102483987,7947
chr11,10315000,10320000,chr11,10320000,10325000,23,3.47140618316209e-93,1,10314995,10315922,10324763,10325091,9468
chr11,10320000,10325000,chr11,10330000,10335000,7,9.52081447290825e-26,0.949,10324763,10325091,10331115,10331349,6305
chr11,10505000,10510000,chr11,10510000,10515000,28,3.67553156183691e-122,1,10509686,10510048,10512079,10512433,2389
chr11,10545000,10550000,chr11,10560000,10565000,8,2.67869747081456e-29,0.984,10548773,10549175,10562417,10563037,13753
chr11,10655000,10660000,chr11,10670000,10675000,14,2.17577561232139e-53,1,10654921,10655180,10673577,10673915,18695
chr11,10675000,10680000,chr11,10680000,10685000,13,1.08717464465328e-56,0.997,10675664,10676134,10681084,10681666,5476
chr11,10745000,10750000,chr11,10755000,10760000,9,1.16240232114991e-32,0.993,10746937,10747401,10757155,10757651,10234
chr11,107870000,107875000,chr11,107875000,107880000,11,4.6406281423314e-45,0.955,107870560,107870781,107879386,107879729,8887
chr11,10825000,10830000,chr11,10830000,10835000,17,6.20577736322189e-77,1,10829298,10829578,10829641,10830843,804
chr11,10875000,10880000,chr11,10920000,10925000,8,3.890970844563e-27,0.949,10878786,10880074,10921288,10921821,42124
chr11,10950000,10955000,chr11,10955000,10960000,13,1.23828385772247e-56,1,10952900,10953469,10955353,10955861,2422
chr11,111635000,111640000,chr11,111645000,111650000,7,7.49389302064983e-27,0.946,111636804,111637328,111648051,111648318,11118
chr11,111740000,111745000,chr11,111745000,111750000,27,5.76936442649812e-108,1,111741911,111742472,111749363,111750440,7710
chr11,111795000,111800000,chr11,111805000,111810000,10,4.03109230550614e-38,0.998,111797456,111797765,111807369,111807614,9881
chr11,111990000,111995000,chr11,111995000,112000000,25,6.3777779719325e-105,1,111990649,111990814,111999099,111999464,8550
chr11,111990000,111995000,chr11,112025000,112030000,7,2.96462999151829e-27,0.943,111990649,111990814,112028049,112028464,37525
chr11,111995000,112000000,chr11,112025000,112030000,10,1.44531850693985e-38,0.997,111999099,111999464,112028049,112028464,28975
chr11,112025000,112030000,chr11,112030000,112035000,25,8.04420168039121e-108,1,112028049,112028464,112034545,112034924,6478
chr11,116655000,116660000,chr11,116660000,116665000,16,5.6453325898626e-68,0.999,116658494,116658978,116661995,116662308,3415
chr11,117045000,117050000,chr11,117050000,117055000,15,1.31378686433166e-62,0.999,117049216,117049742,117051936,117052226,2602
chr11,117185000,117190000,chr11,117195000,117200000,10,1.4115876168828e-42,1,117186793,117187171,117198395,117198717,11574
chr11,117775000,117780000,chr11,117815000,117820000,7,4.37246627647029e-25,0.933,117777999,117778317,117817599,117817930,39606
chr11,118040000,118045000,chr11,118050000,118055000,7,6.41447694018734e-28,0.951,118042382,118042655,118051132,118051443,8769
chr11,118110000,118115000,chr11,118120000,118125000,8,7.37879414189264e-33,0.986,118112267,118112629,118122621,118123241,10483
chr11,118135000,118140000,chr11,118145000,118150000,9,6.79034082919713e-36,0.99,118134841,118135317,118148060,118148325,13113
chr11,118400000,118405000,chr11,118435000,118440000,8,7.80418282738744e-31,0.981,118401393,118402021,118436554,118436958,35049
chr11,118435000,118440000,chr11,118440000,118445000,11,1.59991379946219e-43,0.934,118436554,118436958,118442859,118443456,6401
chr11,118440000,118445000,chr11,118490000,118495000,8,1.0027801451723e-29,0.956,118442859,118443456,118491877,118492215,48888
chr11,118475000,118480000,chr11,118490000,118495000,8,7.10289781492216e-30,0.982,118478568,118478753,118491877,118492215,13385
chr11,118935000,118940000,chr11,118970000,118975000,8,6.62799130317002e-24,0.952,118938246,118938786,118972009,118973204,34090
chr11,118970000,118975000,chr11,118975000,118980000,51,6.48359038118776e-200,1,118972009,118973204,118977783,118978230,5400
chr11,118970000,118975000,chr11,118990000,118995000,20,1.18543412430638e-69,1,118972009,118973204,118991997,118992481,19632
chr11,118970000,118975000,chr11,119040000,119045000,10,1.2788719988863e-31,0.979,118972009,118973204,119039991,119040291,67534
chr11,119035000,119040000,chr11,119040000,119045000,38,4.95052924737594e-163,1,119039192,119039728,119039991,119040291,681
chr11,119245000,119250000,chr11,119250000,119255000,13,1.31755402049174e-57,0.993,119244885,119245172,119252243,119252622,7404
chr11,119595000,119600000,chr11,119600000,119605000,20,1.56708560820315e-89,1,119599764,119600038,119600045,119600315,279
chr11,120195000,120200000,chr11,120205000,120210000,9,7.54815836349192e-34,0.995,120195792,120196226,120206663,120207258,10951
